1.77	2.099	0.3492
1.884	-0.9955	0.299
1.855	1.679	0.2971
1.802	2.035	0.3132
1.75	-2.344	0.3136
1.777	0.1078	0.3332
1.8	-0.7899	0.3405
1.748	-3.103	0.3254
1.784	-0.465	0.357
1.775	1.579	0.3643
1.772	3.861	0.3304
1.748	-3.256	0.3111
1.76	2.957	0.3021
1.716	-0.1906	0.3271
1.655	-0.6559	0.291
1.74	1.991	0.3037
1.767	-0.4952	0.3114
1.744	1.317	0.3113
1.604	2.881	0.2886
1.723	0.5939	0.2866
1.676	-0.4037	0.2972
1.595	0.1943	0.2431
1.339	-0.08893	0.08752
1.344	0.2324	0.06483
1.06	-0.7508	-0.01155
1.706	-4.276	0.2945
1.574	-2.536	0.2053
1.393	-0.2701	0.1368
1.578	-0.08223	0.2423
1.371	0.1479	0.1321
1.75	1.405	0.333
1.687	-4.878	0.3153
1.74	-1.158	0.3425
1.785	2.783	0.3578
1.701	0.01489	0.3367
1.665	2.492	0.399
1.745	-5.282	0.36
1.676	1.704	0.3472
1.614	3.181	0.3813
1.746	1.967	0.4029
1.834	1.896	0.3843
1.961	3.762	0.3735
1.799	0.5308	0.3623
1.812	1.753	0.3507
1.759	-0.171	0.3422
1.839	-2.08	0.3097
1.849	1.842	0.3016
1.779	0.1611	0.3244
1.8	-1.583	0.3022
1.766	0.5833	0.3108
1.783	-0.4357	0.314
1.825	0.4834	0.2984
1.754	0.5409	0.32
1.481	0.7918	0.08997
1.72	1.679	0.2121
1.71	1.033	0.2768
1.786	1.833	0.3339
1.273	1.708	-0.001663
1.733	-2.254	0.2472
1.65	-3.578	0.2162
1.772	3.793	0.3234
1.762	1.886	0.3513
1.027	-0.1996	-0.009971
0.9711	-0.7872	-0.01293
1.112	-0.2843	0.08129
1.715	-5.076	0.2782
1.731	-3.566	0.2744
1.712	-4.304	0.2882
1.738	-3.124	0.2669
1.751	-2.357	0.2904
1.752	-3.927	0.2722
1.763	-4.995	0.2767
1.772	-4.541	0.2997
1.764	-6.656	0.2893
1.702	2.292	0.3183
1.724	2.652	0.3321
1.736	1.247	0.3191
1.691	1.188	0.3363
1.724	0.171	0.3394
1.726	1.058	0.3405
1.763	0.8313	0.3374
1.819	0.6884	0.3212
1.781	1.129	0.3317
1.769	-0.4813	0.3215
1.771	0.983	0.3156
1.764	-2.18	0.3156
1.766	3.107	0.329
1.795	1.859	0.3243
1.783	0.521	0.317
1.774	-3.2	0.3051
1.856	-1.529	0.3092
1.817	1.87	0.3196
1.828	1.551	0.3113
1.85	1.875	0.3057
1.814	1.003	0.304
1.707	-2.302	0.2824
1.713	-4.219	0.2685
1.701	-4.801	0.272
1.674	-4.062	0.2639
1.709	-2.178	0.2629
1.711	-0.6007	0.259
1.714	-2.4	0.2575
1.593	2.162	0.281
1.577	2.044	0.2668
1.633	-1.466	0.2665
1.53	-0.9305	0.2754
1.524	-2.64	0.2602
1.537	-0.1122	0.2709
1.591	0.5126	0.2465
1.638	-2.407	0.2024
1.637	-1.317	0.2061
1.692	-1.014	0.242
1.705	-3.847	0.2767
1.666	-0.7679	0.2494
1.667	-0.3374	0.2248
1.666	-3.302	0.234
1.674	2.74	0.3095
1.638	2.643	0.2589
1.653	2.56	0.2907
1.658	2.24	0.3182
1.67	1.194	0.3239
1.662	0.9876	0.303
1.722	-0.0143	0.3249
1.629	2.656	0.2
1.625	1.717	0.2566
1.651	1.025	0.2525
